Sample Checking,ISIN,Ticker,Quantity,Name,Last ClosePrice,Takara UMD 0408 LCP,Currency,Takara UMD 0408 CCY, Listed Exchange ,Section,Takara Prim Exchange,Market Cap USD,Takara UMD 0408 CUR_MKT_CAP,CUR_MKT_CAP in USD Million, Equity Shares Outstanding Mio ,Takara UMD 0408 EQY_SH_OUT,EQY_SH_OUT IN MIL, vol_260d_cal ,Takara UMD 0416 vol_260d_calc,3M Volume,Takara UMD 0408  VOLUME_AVG_3M,Average Traded Value_3M (USD),Takara UMD 0408  AVG_DAILY_VALUE_TRADED_3M,AVG_DAILY_VALUE_TRADED_3M in USD,HC Formula (%),HC Bucketing (%),HC mcap (%),"HC Max(HCmcap,formula) (%)",Penny stock penalty (if any),Full Equity Financing,Equity Financing up to LP10, Market Value USD , Full Equity Collateral Value USD , Collateral Value USD 
,US5184391044,EL US,"13,339",ESTEE LAUDER COMPANIES-CL A,147.82,,USD,, New York ,#N/A Field Not Applicable,UN,"52,990 Million",,, 232.93 ,,, 44.95 ,,"2,745,696",,"389,234,432",,,21.06%,21.25%,21.25%,21.25%,21.25%,75%,75%," 1,971,771 "," 1,478,828 "," 1,478,828 "
,KY30744W1070,FTCHF UV,"18,530",FARFETCH LTD-CLASS A,0.0171,,USD,, OTC US ,#N/A Field Not Applicable,UV,7 Million,,, 352.61 ,,, #N/A N/A ,,#N/A N/A,,,,,0.%,100.%,21.25%,100.%,100.%,0%,0%, 317 , -   , -   
,US37045V1008,GM US,"4,197",GENERAL MOTORS CO,40.82,,USD,, New York ,#N/A Field Not Applicable,UN,"47,124 Million",,," 1,154.43 ",,, 31.85 ,,"18,220,030",,"690,872,192",,,15.43%,21.25%,21.25%,21.25%,21.25%,75%,75%," 171,322 "," 128,491 "," 128,491 "
,US5738741041,MRVL UW,"1,716",MARVELL TECHNOLOGY INC,67.2,,USD,, NASDAQ GS ,#N/A Field Not Applicable,UW,"58,195 Million",,, 866.00 ,,, 53.37 ,,"4,665,789",,"320,622,272",,,24.49%,21.25%,26.5%,26.5%,26.5%,70%,70%," 115,315 "," 80,721 "," 80,721 "
,US92766K1060,SPCE US,"2,700",VIRGIN GALACTIC HOLDINGS INC,1.5,,USD,, New York ,#N/A Field Not Applicable,UN,600 Million,,, 400.04 ,,, 93.34 ,,"9,256,318",,"18,217,868",,,38.81%,52.75%,42.25%,52.75%,84.25%,15%,15%," 4,050 ", 608 , 608 
,US98980L1017,ZM US,"2,710",ZOOM VIDEO COMMUNICATIONS-A,66.23,,USD,, NASDAQ GS ,#N/A Field Not Applicable,UW,"20,370 Million",,, 260.90 ,,, 33.41 ,,"3,564,378",,"240,402,384",,,16.12%,21.25%,21.25%,21.25%,21.25%,75%,75%," 179,483 "," 134,612 "," 134,612 "
,US98980G1022,ZS US,"2,018",ZSCALER INC,195.94,,USD,, NASDAQ GS ,#N/A Field Not Applicable,UW,"29,363 Million",,, 149.86 ,,, 50.48 ,,"2,352,631",,"528,789,824",,,23.33%,21.25%,26.5%,26.5%,26.5%,70%,70%," 395,407 "," 276,785 "," 276,785 "
,CNE1000002N9,3323 HK,"333,004",CHINA NATIONAL BUILDING MA-H,2.85,3.02,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"2,969 Million",,," 4,558.15 ",,, 42.89 ,,"19,248,130",,"7,190,574",,,20.21%,31.75%,21.25%,31.75%,31.75%,65%,65%," 121,340 "," 78,871 "," 78,871 "
,HK0000056256,570 HK,"80,000",CHINA TRADITIONAL CHINESE ME,4.34,4.31,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"2,778 Million",,," 5,035.80 ",,, 46.73 ,,"49,956,730",,"25,047,598",,,21.8%,31.75%,26.5%,31.75%,31.75%,65%,65%," 44,390 "," 28,854 "," 28,854 "
,BMG653181005,2689 HK,"221,000",NINE DRAGONS PAPER HOLDINGS,3.58,3.18,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"2,090 Million",,," 4,692.22 ",,, 39.67 ,,"13,294,180",,"5,744,227",,,18.84%,31.75%,21.25%,31.75%,31.75%,65%,65%," 101,155 "," 65,750 "," 65,750 "
,BMG8162K1137,460 HK,"156,000",SIHUAN PHARMACEUTICAL HLDGS,0.58,0.53,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,681 Million,,," 9,330.00 ",,, 37.98 ,,"7,080,363",,"525,504",,,18.12%,52.75%,21.25%,52.75%,52.75%,45%,45%," 11,568 "," 5,206 "," 5,206 "
,KYG8167W1380,1177 HK,"797,888",SINO BIOPHARMACEUTICAL,3.27,2.81,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"7,580 Million",,," 18,801.22 ",,, 40.53 ,,"52,478,720",,"20,793,790",,,19.21%,21.25%,21.25%,21.25%,21.25%,75%,75%," 333,580 "," 250,185 "," 250,185 "
,CNE100000PP1,2208 HK,"259,896",GOLDWIND SCIENCE&TECHNOLOGY,3.18,3.06,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"4,078 Million",,, 773.57 ,,, 41.55 ,,"5,633,501",,"2,188,286",,,19.64%,31.75%,21.25%,31.75%,31.75%,65%,65%," 105,666 "," 68,683 "," 68,683 "
,CNE100000114,3993 HK,"2,298,000",CMOC GROUP LTD-H,6.35,7.03,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"22,048 Million",,," 3,933.47 ",,, 39.01 ,,"23,356,740",,"14,733,983",,,18.56%,21.25%,21.25%,21.25%,21.25%,75%,75%," 1,865,665 "," 1,399,249 "," 1,399,249 "
,HK1208013172,1208 HK,"3,000,000",MMG LTD,3.21,3.73,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"3,479 Million",,," 8,656.05 ",,, 53.37 ,,"19,170,810",,"5,948,848",,,24.64%,31.75%,26.5%,31.75%,31.75%,65%,65%," 1,231,222 "," 800,294 "," 800,294 "
,JP3404600003,8053 JP,"100,000",SUMITOMO CORP,3541,,JPY,, Tokyo ,Tokyo Prime,,"31,502 Million",,," 1,223.08 ",,, 24.56 ,,"3,340,395",,"80,978,231",,,12.13%,21.25%,21.25%,21.25%,21.25%,75%,75%," 2,354,701 "," 1,766,026 "," 1,766,026 "
,JP3402600005,5713 JP,"40,000",SUMITOMO METAL MINING CO LTD,4409,,JPY,, Tokyo ,Tokyo Prime,,"9,310 Million",,, 290.81 ,,, 28.44 ,,"1,524,518",,"45,042,381",,,13.9%,21.25%,21.25%,21.25%,21.25%,75%,75%," 1,172,762 "," 879,572 "," 879,572 "
,US88688T1007,TLRY US,"64,000",TILRAY BRANDS INC,1.92,,USD,, NASDAQ GS ,#N/A Field Not Applicable,UW,"1,426 Million",,, 742.73 ,,, 82.60 ,,"22,796,024",,"45,137,764",,,35.25%,31.75%,37.%,37.%,47.5%,50%,50%," 122,880 "," 61,440 "," 61,440 "
,KYG539641053,3709 HK,"1,680,000",EEKA FASHION HOLDINGS LTD,13.74,13.22,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"1,227 Million",,, 704.05 ,,, 35.83 ,,"964,250",,"1,713,209",,,23.9%,31.75%,26.5%,31.75%,31.75%,65%,35%," 2,951,250 "," 1,918,312 "," 1,032,937 "
,KYG9400C1116,856 HK,"1,800,000",VSTECS HOLDINGS LTD,4.09,4.83,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,774 Million,,," 1,436.89 ",,, 29.77 ,,"3,796,556",,"2,073,871",,,15.86%,52.75%,21.25%,52.75%,52.75%,45%,45%," 941,252 "," 423,563 "," 423,563 "
,US46138G6492,QQQM US,141,INVESCO NASDAQ 100 ETF,179.99,,USD,, NASDAQ GM ,#N/A Field Not Applicable,UQ,"22,542 Million",,, 125.24 ,,, 16.78 ,,"1,815,817",,"317,308,832",,,8.45%,21.25%,21.25%,21.25%,21.25%,75%,75%," 25,379 "," 19,034 "," 19,034 "
,US46429B7477,STIP US,68,ISHARES 0-5 YEAR TIPS BOND E,98.95,,USD,, NYSE Arca ,#N/A Field Not Applicable,UP,"7,871 Million",,, 79.55 ,,, 3.06 ,,"618,295",,"61,003,888",,,1.6%,21.25%,21.25%,21.25%,21.25%,75%,75%," 6,729 "," 5,046 "," 5,046 "
,US4642886208,USIG UQ,90,ISHARES BROAD USD INVESTMENT,50.275,,USD,, NASDAQ GM ,#N/A Field Not Applicable,UQ,"10,631 Million",,, 211.45 ,,, 7.25 ,,"99,196",,"5,034,010",,,3.74%,21.25%,21.25%,21.25%,21.25%,75%,75%," 4,525 "," 3,394 "," 3,394 "
,US4642882819,EMB US,79,ISHARES JP MORGAN USD EMERGI,88.36,,USD,, NASDAQ GM ,#N/A Field Not Applicable,UQ,"13,395 Million",,, 151.60 ,,, 8.93 ,,"6,339,735",,"557,535,936",,,4.59%,21.25%,21.25%,21.25%,21.25%,75%,75%," 6,980 "," 5,235 "," 5,235 "
